line,type,context,talking,talking_to,words,episode
0,sound,"water rushing, animals chattering",,,,2
1,testimony,,colton,aside,"Oh, good morning. Uh, it's the morning of the first group date of this entire season, and I'm super excited. Today we're going to be going to a theater to... tell stories of our firsts. It's gonna be a lot of fun. But I'm also really nervous. This one's gonna set the tempo for the whole entire season. And... yeah. Let it begin.",2
2,dialogue,,women,colton,Colton!,2
3,testimony,,caelynn,aside,I woke up this morning with butterflies.,2
4,dialogue,,caelynn,women,"We're all, like, smitten.",2
5,dialogue,,women,caelynn,Mm‐hmm.,2
6,dialogue,giggles,caelynn,women,And it's scary.,2
7,testimony,,caelynn,aside,Last night I may have kissed him. I did. It was great.,2
8,dialogue,,???,women,I'm excited.,2
9,dialogue,,???,women,"I know, are we all smitten by Colton?",2
10,dialogue,,erika,women,Everyone is. I'm not surprised we all are.,2
11,testimony,,cassie,aside,I am beyond excited to hopefully start something really good with Colton. I'm stoked to be here.,2
12,sound,upbeat music,,,,2
13,dialogue,,chris,women,"Hey, guys. Good morning.",2
14,dialogue,,women,chris,Good morning!,2
15,dialogue,,chris,women,Y'all come on inside.,2
16,dialogue,,???,chris,Are you feeling good today?,2
17,dialogue,,chris,women,I feel great today. Today is a damn good day to fall in love.,2
18,dialogue,,women,chris,Yes!,2
19,dialogue,,chris,women,I see you all got settled in to your mansion.,2
20,dialogue,,women,chris,Yes.,2
21,dialogue,,chris,women,"So what's it like, night one? Was it what you expected?",2
22,dialogue,,demi,chris,"Um, it exceeded my expectations, for sure. And, like, the moment that you get to sit down with Colton, like, you immediately establish, like, feelings for him. And so, like, we just look forward to getting to develop those more and more.",2
23,dialogue,,onyeka,chris,"Obviously, we're all dating the same guy.",2
24,dialogue,,onyeka,women,"Going forward, I'm definitely going to get more competitive with you girls, so let's go.",2
25,sound,all laughing,,,,2
26,dialogue,,chris,women,Speaking of targets... first impression rose? Hannah?,2
27,dialogue,,hannahg,chris,"Target? Ah, take it off!",2
28,dialogue,,chris,women,"Look, if you learned anything on night one, it's that time is everything. And so, when you have time, when you can find it, take advantage of it. Are you guys ready to go?",2
29,dialogue,,women,chris,Yes! Let's do it!,2
30,dialogue,,chris,women,First date card right here. I'll leave it.,2
31,dialogue,,women,chris,"Oh, my God. Who's gonna read it? Oh, my God.",2
32,dialogue,,chris,women,"So good luck to all of you. Enjoy the dates. Enjoy Colton, and, hopefully, I'll see all of you soon.",2
33,dialogue,,women,chris,Yes.,2
34,dialogue,,chris,women,"Bye, ladies.",2
35,dialogue,,women,chris,"Bye, Chris.",2
36,dialogue,,???,katie,"All right, let's go, Katie!",2
37,testimony,,nicole,aside,"Oh, my God, I better be on that card. I feel like this is my chance to really meet Colton. I want him to get to know my personality, like... I need to be on that card.",2
38,dialogue,,katie,women,Demi.,2
39,sound,women gasp,,,,2
40,dialogue,,katie,women,Bri.,2
41,exclamation,,women,self,Yay!,2
42,dialogue,,katie,women,Tracy.,2
43,exclamation,,women,self,Whoo!,2
44,dialogue,,katie,women,Elyse.,2
45,exclamation,,women,self,Yeah.,2
46,dialogue,,katie,women,Hannah G.,2
47,exclamation,,women,self,Whoo!,2
48,dialogue,,katie,women,Nicole. Onyeka. And Catherine.,2
49,exclamation,,women,self,Whoo!,2
50,dialogue,,katie,women,"""You never forget your first date.""",2
51,exclamation,,women,self,Ooh! What?,2
52,testimony,,hannahg,aside,"I'm so excited that he chose me for one of the first dates, and I just don't know what it's gonna be.",2
53,testimony,,elyse,aside,I think there's eight girls going on this date.,2
54,exclamation,,women,self,"Whoo! Whoo! Let's go, girls!",2
55,testimony,,elyse,aside,It will be very telling to see kind of what he's drawn to.,2
56,sound,cork pops,,,,2
57,exclamation,,women,self,Whoo! Yeah!,2
58,testimony,,tracy,aside,"I have never gone on a date with seven other women. I've gone on, like, a double date before. I don't know if that really counts.",2
59,exclamation,,women,self,Let's do it!,2
60,testimony,,tracy,aside,"I mean, just that feeling of not knowing what you're stepping into makes you slightly anxious.",2
61,exclamation,,women,self,Whoo! Let's go!,2
62,dialogue,,colton,women,How are you guys doing?,2
63,dialogue,,onyeka,colton,"Good, how are you?",2
64,dialogue,,colton,onyeka,Good!,2
65,testimony,,bri,aside,"When I first came up to him I was just so excited, so focused to like, go say hi. I turned around and I'm like, ""Oh, shoot."" What are we doing at a theater?",2
66,dialogue,,colton,women,You guys ready?,2
67,dialogue,,???,colton,Yes!,2
68,sound,jazzy music,,,,2
69,exclamation,,women,self,"Oh, boy. Oh, my God.",2
70,dialogue,,demi,self,Yes! I knew there was a stage.,2
71,exclamation,,bri,self,"Oh, my gosh.",2
72,exclamation,,demi,self,Yes!,2
73,exclamation,,women,self,Whoo!,2
74,dialogue,,megan,women,"Hi, everybody.",2
75,dialogue,,women,megan,Hi! Hello!,2
76,dialogue,,megan,women,"I'm Lauren H. I'm 23, and I work in retail. Okay, actually, I'm Megan, and this is my husband, Nick. And we've been married for 15 years, making out for 18.",2
77,dialogue,,???,megan,I love y'all!,2
78,dialogue,,megan,women,Thank you.,2
79,testimony,,hannahg,aside,"Seeing Nick and Megan, I was like, ""Holy crap, they're not just on my TV screen anymore. They're right in front of me.""",2
80,sound,all giggling,,,,2
81,testimony,,nicole,aside,"I love their shows. I love, like, ""Parks and Recreation."" I love, like, ""Will & Grace."" Like, I'm a huge fan of both of them.",2
82,dialogue,,megan,women,Today is all about firsts. So we are here to tell you stories about some memorable firsts in our lives.,2
83,dialogue,,nick,women,"And like any good story, we hope that it's full of adventure and is brought to a rousing climax.",2
84,exclamation,,women,self,Ooh.,2
85,dialogue,,megan,women,"My story is called, ""The First Time I *bleep* someone.""",2
86,sound,all laughing,,,,2
87,dialogue,,megan,women,"The first time I *bleep* someone, I was a little nervous. I didn't feel confident. I wasn't sure if I was there for the right reasons. But I had a little talk with myself, a little pep talk, and it turns out that I could do it, and I did do it, and I went on to *bleep* a lot more people.",2
88,dialogue,,women,megan,"Wow, okay.",2
89,dialogue,,megan,women,Thank you.,2
90,testimony,laughs,elyse,aside,So Nick and Megan kind of gave these stories with a lot of innuendos.,2
91,dialogue,,nick,women,"This is the story of the first time that I plucked the blossom of a woman. I was feeling insecure when I arrived at her house, um...",2
92,testimony,,tracy,aside,"Nick Offerman is telling a story about gardening, and it definitely had a sexual undertone.",2
93,dialogue,,nick,women,"She helped me part the *bleep*, uh... At which point, finally, I did arrive at, uh... the velvety petals of her blossom. And I clipped it, and it was a beautiful rose.",2
94,exclamation,giggling,women,self,Oh.,2
95,testimony,,tracy,aside,It was very cryptic and unusual.,2
96,dialogue,,megan,women,"In case you're wondering what's gonna happen today, we're here to help you guys tell your own stories about significant firsts in your lives. You first kiss, your first pet, the first time you went to jail, anything that really stands out as something that you would like to share with Colton‐‐ kind of let him know more about who you really are.",2
97,dialogue,,nick,women,And then this evening you're going to perform your stories in front of an audience of 200 people.,2
98,exclamation,,women,self,Whoa!,2
99,testimony,,tracy,aside,"I think the goal of today is to just give Colton an idea of our personality and give him a little bit of an insight into who we are outside of the fancy gowns. I absolutely hope that at the end of this, Colton has a ""first"" story that includes me.",2
100,dialogue,,megan,colton,"And we're huge fans of you and ""The Bachelor.""",2
101,dialogue,,colton,megan,Thank you.,2
102,dialogue,,megan,colton,"So tell us, who's the crazy one?",2
103,dialogue,,colton,megan,"Ah, I don't know. It's only been one night.",2
104,dialogue,,megan,colton,We don't know yet?,2
105,testimony,,megan,aside,"I feel like Colton, like, has a thing for me, and it could interfere with this season of ""The Bachelor.""",2
106,testimony,,nick,aside,I would love to have him around the house.,2
107,testimony,,megan,aside,Yeah.,2
108,testimony,,nick,aside,"Like, giving me tips...",2
109,testimony,,megan,aside,"Great guy. Yeah, you guys could be buddies.",2
110,testimony,,nick,aside,"In the dumbbell area. What do you think about this, bro?",2
111,sound,quirky music,,,,2
112,dialogue,,megan,nicole,What does it say? Oh. That's a good one.,2
113,dialogue,,nicole,megan,Really?,2
114,testimony,,nicole,aside,"Today he's finally gonna see, like, this part of me that, you know, is kind of smart. Like, I can write. I'm funny. So if I can get Colton to laugh today, I'll go to sleep happy tonight.",2
115,dialogue,,hannahb,colton,I hope you like it.,2
116,dialogue,,colton,hannahb,"Oh, I'll like it. Have you ever spoke in front of 200 people before?",2
117,dialogue,,hannahb,colton,No.,2
118,dialogue,,colton,hannahb,"They always say, like, pretend that everybody's in their underwear. Or just pretend all those people aren't there and it's just me sitting there.",2
119,dialogue,,hannahb,colton,Or I could just tell everybody to leave.,2
120,dialogue,,colton,hannahb,"I don't know about that, but...",2
121,dialogue,,hannahb,colton,We'll see. I might mix things up.,2
122,testimony,,hannahb,aside,"Talking in front of everybody is terrifying. But Colton's gonna make this whole thing better. Hopefully if I see him in the audience or something, it'll make me feel more calm.",2
123,dialogue,,demi,nick,"""So I was so nervous and excited and when he showed up he was hot as *bleep*.""",2
124,dialogue,,nick,demi,"They frown on using the phrase ""hot as *bleep*.""",2
125,dialogue,,megan,nick,"No, they say dirty words on ""The Bachelor"" all the time.",2
126,dialogue,,nick,megan,"Oh, they do.",2
127,testimony,,demi,aside,"I hope that Colton sees that I am bold and I am out there. The other girls, they're gonna have some sappy stories, they're gonna have some love stories. They're gonna have some, like, deep stories about maybe their childhood or something. But nobody's gonna have a story like mine.",2
128,testimony,,megan,aside,I think that they should probably be shaking in their boots.,2
129,dialogue,,nick,demi,Break a leg.,2
130,dialogue,,megan,demi,Bye.,2
131,exclamation,,demi,self,I'm freakin' out.,2
132,sound,cheers and applause,,,,2
133,dialogue,,megan,crowd,"Hi, guys. I'm Megan Mullally, and this is Nick Offerman.",2
134,sound,cheers and applause,,,,2
135,dialogue,,nick,crowd,So tonight we're gonna hear stories about people's first time doing different things.,2
