line,type,context,talking,talking_to,words,episode
0,dialogue,,???,women,It's starting to feel very small.,4
1,dialogue,,???,women,I know.,4
2,dialogue,,???,women,It's so crazy.,4
3,dialogue,,???,women,It's so weird.,4
4,dialogue,,demi,women,That's crazy to think about.,4
5,testimony,,hannahb,aside,"I woke up this morning feeling emotionally exhausted. Everybody in this house knows that Caelynn and I don't like each other. It is something that we came into this process with since Miss USA. And yesterday she told Colton that I'm manipulative, hostile, deceitful, and I don't know, like, how he's feeling. So I'm just hoping this week I just get some more validation from him that we're okay.",4
6,dialogue,,chris,women,Morning.,4
7,exclamation,,???,self,What?,4
8,dialogue,,women,chris,"Good morning, Chris.",4
9,dialogue,,chris,women,"Good morning. How's everybody feeling after yesterday, after last night?",4
10,dialogue,,women,chris,Good.,4
11,dialogue,,chris,hannahb,"Caelynn, how was it for you?",4
12,dialogue,,hannahb,chris,"Well, my name's Hannah.",4
13,exclamation,,women,self,Ooh.,4
14,dialogue,,chris,hannahb,"I'm sorry, Hannah. I'm sorry, Hannah. Caelynn's over there‐‐Hannah.",4
15,dialogue,,hannahb,chris,"Um, there were things said about me that should have never been said about me. And, um... I feel like I had to defend myself a lot. And just wasn't fun.",4
16,testimony,,caelynn,aside,"She's like a gnat that just, like, won't go away. It's just an annoyance. I've moved on from the things that she's done to me, so I don't know why she's kinda still stuck in it.",4
17,dialogue,,hannahb,chris,"Just wasn't a good day, and I'm really tired of talking about what we've had to talk about.",4
18,dialogue,,chris,hannahb,"And yet, you're here.",4
19,dialogue,sighs,hannahb,chris,By the hair of my chin.,4
20,sound,laughter,,,,4
21,testimony,,caelynn,aside,"I came here for Colton. I didn't come here to talk about Hannah B. There's important things that I need to address with him, so I want to focus on us. And I'm hopeful that we can put these weird things in the past and continue on with our relationship.",4
22,dialogue,,chris,women,"Some bad news, there is no date today. The reason for that, it's time to take this thing to the next level. And to do that, we gotta get out of here.",4
23,sound,all squealing,,,,4
24,exclamation,,women,self,"Oh, my God. I'm so excited.",4
25,dialogue,,chris,women,You'll be going to a place that we've actually never been in the history of the show.,4
26,sound,screaming and exclamations,,,,4
27,dialogue,,chris,women,It's about as far around the world as you can go.,4
28,dialogue,,???,chris,"Oh, my God. Australia?",4
29,dialogue,,chris,women,"Ladies, pack your bags. You'll be meeting Colton in Singapore.",4
30,sound,screaming,,,,4
31,exclamation,,women,self,No way! Shut up! What am I gonna wear to Singapore?,4
32,dialogue,,chris,women,You leave in an hour.,4
33,exclamation,,women,self,"What? No. No, no, no, no.",4
34,dialogue,,chris,women,So you may wanna get out of here and go pack your bags.,4
35,sound,cheering,,,,4
36,dialogue,,chris,women,"Enjoy, enjoy. Drive safe. Enjoy.",4
37,dialogue,,onyeka,women,"Guys, I'm freaking out.",4
38,testimony,,onyeka,aside,"I'm so excited to go to Singapore. I'm so excited to see Colton. I know he hasn't left North America before, and I am far from an international travelling virgin. So it'll be nice to travel with one.",4
39,dialogue,,???,women,"Guys, I'm so excited.",4
40,testimony,,demi,aside,Me and Colton have had a lot of firsts together already. So could Colton lose his virginity in Singapore? Maybe.,4
41,exclamation,,women,self,"Bye, America. We're going to Singapore.",4
42,sound,cheering,,,,4
43,testimony,,hannahg,aside,Where is Singapore?,4
44,sound,exciting music,,,,4
45,sound,cheering,,,,4
46,exclamation,,women,self,Singapore. ‐ Yeah! Whoo. Singapore.,4
47,testimony,,colton,aside,"We are in Singapore and it feels great. Singapore is amazing. It's got the lights, the buildings, and it's definitely a really cool place. So I'm ready to kick‐start this journey, travel the world, and find love.",4
48,dialogue,,vendor,colton,"Hey, sir.",4
49,dialogue,,colton,vendor,"Hey, can I get one of these?",4
50,dialogue,,vendor,colton,"Sure, it's $2, sir.",4
51,dialogue,,colton,vendor,$2?,4
52,dialogue,,vendor,colton,Yep.,4
53,testimony,,colton,aside,"The last week in L. A. was really tough, and it was one of the hardest weeks that I've had so far. I feel like with Caelynn and Hannah, I have to treat it how it is, and that is that they're not gonna get along with each other. So I just hope that those two could stay out of each other's way enough to allow me to really figure out what's there for us. So getting out of the country and having a fresh start, I'm very excited about that. And to be able to go through it with these women is something very special.",4
54,sound,upbeat music,,,,4
55,exclamation,,women,self,"When in Singapore... I know, I'm so excited.",4
56,dialogue,,nicole,women,To finding true love in Singapore.,4
57,exclamation,,women,self,Cheers!,4
58,testimony,,nicole,aside,"I wanna go on a date with Colton, just us two, in Singapore. That's my freaking dream.",4
59,exclamation,,women,self,"I'm so excited. Yay, we're here. Whoo! Oh, my God. Oh, my God. This is amazing, oh, my goodness.",4
60,testimony,,hannahg,aside,"I've never been in a hotel like this. From our room, we can see all of Singapore, which is so pretty.",4
61,exclamation,,women,self,"This is beautiful. Oh, my gosh.",4
62,testimony,,hannahg,aside,But what would make this one million percent better is Mr. Colton.,4
63,testimony,,cassie,aside,"Who knows what Colton's gonna have in store for us this week. This is kind of a big turning point, and I feel like we're at a good spot right now, so I want a one‐on‐one date, I do. I want one so bad.",4
64,exclamation,,women,self,Singapore!,4
65,sound,knocking at door,,,,4
66,exclamation,overlapping chatter,women,self,Date card.,4
67,dialogue,,???,women,I think we all want that one‐on‐one date this week.,4
68,dialogue,,???,women,Sure.,4
69,dialogue,,???,women,Especially in Singapore.,4
70,dialogue,,???,women,"Absolutely. Oh, yeah.",4
71,dialogue,,???,women,It'd be a once in a lifetime experience.,4
72,sound,dramatic music,,,,4
73,exclamation,,???,self,"Oh, my goodness.",4
74,dialogue,,elyse,women,"""Tayshia, let's fall in love, Colton.""",4
75,exclamation,,women,self,"Aww! Oh, my God. This is so exciting. How fun!",4
76,dialogue,,hannahb,tayshia,You're gonna have so much fun.,4
77,testimony,groans,hannahb,aside,"It's frustrating, 'cause I know what happens on those one‐on‐ones. I know they're probably gonna have a good time. It's just like...",4
78,exclamation,,tayshia,self,Yes! So exciting!,4
79,exclamation,,women,self,Yay.,4
80,testimony,,demi,aside,"It sucks because I know I have so much to tell him. But if she didn't come back, that would be great. The less girls, the merrier.",4
